Column1	title	year	rating	metascore	gross	hyperlink	country	Column2	budget	awards	award wins	award nominations	duration	rating-metascore	revenue	genre1	genre2	genre3
94	Metropolis	1927	83	98	1240000	https://www.imdb.com/title/tt0017136/?ref_=adv_li_i	Germany		3473229	6 wins & 5 nominations.	6	5	2h 33min	15.00	-2233229.00	Drama	 Sci-Fi	
359	King Kong	1933	79	90	10000000	https://www.imdb.com/title/tt0024216/?ref_=adv_li_i	USA		670000	3 wins & 7 nominations.	3	7	1h 40min	11.00	9330000.00	Adventure	 Horror	 Sci-Fi
202	It Happened One Night	1934	81	87	4360000	https://www.imdb.com/title/tt0025316/?ref_=adv_li_i	USA		325000	Won 5 Oscars.	5	0	1h 45min	6.00	4035000.00	Comedy	 Romance	
49	Modern Times	1936	85	96	160000	https://www.imdb.com/title/tt0027977/?ref_=adv_li_i	USA		1500000	4 wins & 1 nomination.	4	1	1h 27min	11.00	-1340000.00	Comedy	 Drama	 Family
672	Snow White and the Seven Dwarfs	1937	76	95	184930000	https://www.imdb.com/title/tt0029583/?ref_=adv_li_i	USA		2000000	Nominated for 1 Oscar.	0	1	1h 23min	19.00	182930000.00	Animation	 Family	 Fantasy
287	The Adventures of Robin Hood	1938	80	97	3980000	https://www.imdb.com/title/tt0029843/?ref_=adv_li_i	USA		1900000	Won 3 Oscars.	3	0	1h 42min	17.00	2080000.00	Action	 Adventure	 Romance
286	The Wizard of Oz	1939	80	100	2080000	https://www.imdb.com/title/tt0032138/?ref_=adv_li_i	USA		2800000	Won 2 Oscars.	2	0	1h 42min	20.00	-720000.00	Adventure	 Family	 Fantasy
129	Gone with the Wind	1939	82	97	198680000	https://www.imdb.com/title/tt0031381/?ref_=adv_li_i	USA		3977000	Won 8 Oscars.	8	0	3h 58min	15.00	194703000.00	Drama	 History	 Romance
128	Mr. Smith Goes to Washington	1939	82	73	9600000	https://www.imdb.com/title/tt0031679/?ref_=adv_li_i	USA		1500000	Won 1 Oscar.	1	0	2h 9min	9.00	8100000.00	Comedy	 Drama	
470	Fantasia	1940	78	96	76410000	https://www.imdb.com/title/tt0032455/?ref_=adv_li_i	USA		2280000	8 wins & 1 nomination.	8	1	2h 5min	18.00	74130000.00	Animation	 Family	 Fantasy
201	The Grapes of Wrath	1940	81	95	60000	https://www.imdb.com/title/tt0032551/?ref_=adv_li_i	USA		800000	Won 2 Oscars.	2	0	2h 9min	14.00	-740000.00	Drama	 History	
93	Citizen Kane	1941	83	100	1590000	https://www.imdb.com/title/tt0033467/?ref_=adv_li_i	USA		839727	Won 1 Oscar.	1	0	1h 59min	17.00	750273.00	Drama	 Mystery	
48	Casablanca	1942	85	100	1020000	https://www.imdb.com/title/tt0034583/?ref_=adv_li_i	USA		950000	Won 3 Oscars.	3	0	1h 42min	15.00	70000.00	Drama	 Romance	 War
92	Double Indemnity	1944	83	95	5720000	https://www.imdb.com/title/tt0036775/?ref_=adv_li_i	USA		927262	Nominated for 7 Oscars.	0	7	1h 47min	12.00	4792738.00	Crime	 Drama	 Film-Noir
285	Notorious	1946	80	100	10460000	https://www.imdb.com/title/tt0038787/?ref_=adv_li_i	USA		2000000	Nominated for 2 Oscars.	0	2	1h 42min	20.00	8460000.00	Drama	 Film-Noir	 Romance
200	The Best Years of Our Lives	1946	81	92	23650000	https://www.imdb.com/title/tt0036868/?ref_=adv_li_i	USA		2100000	Won 7 Oscars.	7	0	2h 50min	11.00	21550000.00	Drama	 Romance	 War
127	The Treasure of the Sierra Madre	1948	82	99	5010000	https://www.imdb.com/title/tt0040897/?ref_=adv_li_i	USA		3000000	Won 3 Oscars.	3	0	2h 6min	17.00	2010000.00	Adventure	 Drama	 Western
126	The Third Man	1949	82	97	450000	https://www.imdb.com/title/tt0041959/?ref_=adv_li_i	UK		Unknown	Won 1 Oscar.	1	0	1h 33min	15.00		Film-Noir	 Mystery	 Thriller
91	All About Eve	1950	83	98	10000	https://www.imdb.com/title/tt0042192/?ref_=adv_li_i	USA		1400000	Won 6 Oscars.	6	0	2h 18min	15.00	-1390000.00	Drama		
358	The African Queen	1951	79	91	540000	https://www.imdb.com/title/tt0043265/?ref_=adv_li_i	USA		1000000	Won 1 Oscar.	1	0	1h 45min	12.00	-460000.00	Adventure	 Drama	 Romance
284	Strangers on a Train	1951	80	88	7630000	https://www.imdb.com/title/tt0044079/?ref_=adv_li_i	USA		1200000	Nominated for 1 Oscar.	0	1	1h 41min	8.00	6430000.00	Crime	 Film-Noir	 Thriller
283	A Streetcar Named Desire	1951	80	96	8000000	https://www.imdb.com/title/tt0044081/?ref_=adv_li_i	USA		1800000	Won 4 Oscars.	4	0	2h 2min	16.00	6200000.00	Drama		
90	Singin' in the Rain	1952	83	99	8820000	https://www.imdb.com/title/tt0045152/?ref_=adv_li_i	USA		2540800	Nominated for 2 Oscars.	0	2	1h 43min	16.00	6279200.00	Comedy	 Musical	 Romance
282	High Noon	1952	80	89	9450000	https://www.imdb.com/title/tt0044706/?ref_=adv_li_i	USA		730000	Won 4 Oscars.	4	0	1h 25min	9.00	8720000.00	Action	 Drama	 Thriller
124	On the Waterfront	1954	82	91	9600000	https://www.imdb.com/title/tt0047296/?ref_=adv_li_i	USA		910000	Won 8 Oscars.	8	0	1h 48min	9.00	8690000.00	Crime	 Drama	 Thriller
19	Seven Samurai	1954	87	98	270000	https://www.imdb.com/title/tt0047478/?ref_=adv_li_i	Japan		2000000	Nominated for 2 Oscars.	0	2	3h 27min	11.00	-1730000.00	Adventure	 Drama	
125	Dial M for Murder	1954	82	75	10000	https://www.imdb.com/title/tt0046912/?ref_=adv_li_i	USA		1400000	Nominated for 1 BAFTA Film Award.	0	1	1h 45min	7.00	-1390000.00	Crime	 Thriller	
47	Rear Window	1954	85	100	36760000	https://www.imdb.com/title/tt0047396/?ref_=adv_li_i	USA		1000000	Nominated for 4 Oscars.	0	4	1h 52min	15.00	35760000.00	Mystery	 Thriller	
281	The Night of the Hunter	1955	80	99	650000	https://www.imdb.com/title/tt0048424/?ref_=adv_li_i	USA		795000	2 wins.	2	0	1h 32min	19.00	-145000.00	Crime	 Drama	 Film-Noir
123	The Bridge on the River Kwai	1957	82	87	44910000	https://www.imdb.com/title/tt0050212/?ref_=adv_li_i	UK		3000000	Won 7 Oscars.	7	0	2h 41min	5.00	41910000.00	Adventure	 Drama	 War
8	12 Angry Men	1957	89	96	4360000	https://www.imdb.com/title/tt0050083/?ref_=adv_li_i	USA		350000	Nominated for 3 Oscars.	0	3	1h 36min	7.00	4010000.00	Drama		
280	Touch of Evil	1958	80	99	2240000	https://www.imdb.com/title/tt0052311/?ref_=adv_li_i	USA		829000	6 wins & 1 nomination.	6	1	1h 35min	19.00	1411000.00	Crime	 Drama	 Film-Noir
89	Vertigo	1958	83	100	3200000	https://www.imdb.com/title/tt0052357/?ref_=adv_li_i	USA		2479000	Nominated for 2 Oscars.	0	2	2h 8min	17.00	721000.00	Mystery	 Romance	 Thriller
199	Ben-Hur	1959	81	90	74700000	https://www.imdb.com/title/tt0052618/?ref_=adv_li_i	USA		15900000	Won 11 Oscars.	11	0	3h 32min	9.00	58800000.00	Adventure	 Drama	 History
